stock_code,analysis_date,price,market_cap,volume,microcap_score,liquidity_score,size_score,overall_score
0090,2025-08-31,0.285,192722704,224200,90,80,60,78.0
0176,2025-08-31,0.21,186986720,807900,90,100,60,84.0
0066,2025-08-31,0.04,19890040,1816600,70,80,100,82.0
5027,2025-08-31,2.3,2259501568,36400,30,80,20,42.0
4723,2025-08-31,0.09,236364304,1593400,70,100,40,70.0
7204,2025-08-31,1.33,1648508544,2390800,60,100,20,60.0
5284,2025-08-31,0.535,1218494720,5036000,60,100,20,60.0
7157,2025-08-31,0.305,30500000,152900,100,60,100,88.0
3816,2025-08-31,7.42,33121026048,2793600,40,100,20,52.0
7943,2025-08-31,0.1,89847200,119500,100,40,80,76.0
5230,2025-08-31,0.35,263774352,3888000,80,100,40,74.0
5161,2025-08-31,0.29,618422080,2663100,60,100,20,60.0
7595,2025-08-31,0.49,289909984,33000,60,40,40,48.0
7078,2025-08-31,0.245,160739120,577600,90,100,60,84.0
0167,2025-08-31,0.3,73863904,3146100,100,100,80,94.0
5166,2025-08-31,0.795,135487872,0,60,20,60,48.0
5249,2025-08-31,2.23,12278714368,3820700,50,100,20,56.0
