stock_code,ticker,company_name,sector,subsector,current_price,market_cap_myr,avg_volume,is_microcap,meets_criteria,currency,last_updated,data_source
5027,5027.KL,Genetec Technology,Technology,Hardware,2.32,2279323648,132500,False,False,MYR,2025-09-25T18:39:16.728209,yfinance
4723,4723.KL,JAKS Resources,Industrial,Construction,0.11,288889664,6829700,True,True,MYR,2025-09-25T18:39:17.056151,yfinance
7204,7204.KL,Zecon Berhad,Industrial,Construction,1.45,1797251328,2743700,False,False,MYR,2025-09-25T18:39:17.539836,yfinance
5284,5284.KL,Pohuat Berhad,Industrial,Manufacturing,0.615,1400697216,5841100,False,False,MYR,2025-09-25T18:39:17.839968,yfinance
7157,7157.KL,MKH Berhad,Industrial,Engineering,0.31,31000000,2000,False,False,MYR,2025-09-25T18:39:18.165992,yfinance
3816,3816.KL,Luxchem Corporation,Consumer,Consumer Goods,7.26,32406794240,15411800,False,False,MYR,2025-09-25T18:39:18.704478,yfinance
7943,7943.KL,Trive Property Group,Consumer,Retail,0.095,85354824,34800,True,True,MYR,2025-09-25T18:39:19.022935,yfinance
5230,5230.KL,Lebtech Berhad,Consumer,Food & Beverage,0.35,263774352,170200,True,True,MYR,2025-09-25T18:39:19.371615,yfinance
5161,5161.KL,Poh Huat Resources,Materials,Manufacturing,0.355,757033408,7799100,False,False,MYR,2025-09-25T18:39:19.692187,yfinance
7595,7595.KL,Vsolar Group,Materials,Manufacturing,0.47,278076736,416300,True,True,MYR,2025-09-25T18:39:20.039921,yfinance
7078,7078.KL,Careplus Group,Healthcare,Healthcare Services,0.21,137776432,327100,True,True,MYR,2025-09-25T18:39:20.585554,yfinance
5166,5166.KL,Sealink International,Energy,Oil & Gas,0.73,124410144,22900,True,True,MYR,2025-09-25T18:39:21.105519,yfinance
5249,5249.KL,Reach Energy,Energy,Renewable Energy,2.09,11507843072,1970400,False,False,MYR,2025-09-25T18:39:22.990548,yfinance
