date_added,ticker,company_name,shares,avg_cost_myr,stop_loss_myr,sector,current_price_myr,market_value_myr,trail_pct,highest_price_myr
2025-08-31,3395.KL,Berjaya Corporation,71,0.621,0.528,Diversified,0.275,19.53,15.0,0.621
2025-08-31,1023.KL,CIMB Group Holdings,6365,7.283,6.783,Banking,7.43,47291.95,15.0,7.98
2025-08-31,5008.KL,Harison Alloys,15000,0.666,1.045,Industrial,1.3,19500.0,15.0,1.23
2025-08-31,1724.KL,Paramon Holdings,14000,1.007,0.875,Industrial,1.07,14980.0,15.0,1.03
2025-08-31,5263.KL,Sunway Construction,33,5.93,6.758,Construction,6.33,208.89,15.0,7.95
2025-08-31,5211.KL,Sunway Berhad,8011,1.258,4.165,Diversified,4.92,39414.12,15.0,4.9
2025-08-31,4677.KL,YTL Corporation,12,1.745,2.031,Diversified,2.56,30.72,15.0,2.39
2025-09-10,5036.KL,EDARAN BHD,600,1.11,0.986,TECHNOLOGY,1.11,666.0000000000001,15.0,1.16
2025-09-19,0236.KL,RAMSSOL GROUP BERHAD,8400,0.895,0.761,TECHNOLOGY,0.895,7518.0,15.0,0.895
2025-08-31,5121.KL,Hektar Real Estate Investment Trust,68813,0.45,0.433,REITs,0.435,29933.655,15.0,0.51
2025-10-14,5789.KL,LBS BINA GROUP BHD,143600,0.43150766,0.367,PROPERTY,0.39,56004.0,15.0,0.432
2026-09-08,5293.KL,AME ELITE CONSORTIUM BERHAD,15100,1.33,1.131,CONSTRUCTION,1.33,20083.0,15.0,1.33
